@RELATION eval  
   
@ATTRIBUTE Type NUMERIC 
@ATTRIBUTE Size {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
0,100,0.889,0.205,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.205,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.205,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.205,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.205,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.205,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.205,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.205,1.02,1.0,0,0.01,0.134,0.213,0
0,100,0.889,0.205,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.205,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.205,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.205,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.205,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.205,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.205,1.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.305,0.02,1.0,0,0.054,0.279,0.0,0
0,100,0.889,0.305,0.02,0.451,0,0.056,0.177,0.002,0
0,100,0.889,0.305,0.02,0.313,0,0.061,0.147,0.024,0
0,100,0.889,0.305,0.02,0.129,0,0.065,0.122,0.0,0
0,100,0.889,0.305,0.02,0.089,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.02,0.048,0,0.031,0.031,0.0,0
0,100,0.889,0.305,0.02,0.041,0,0.031,0.031,0.0,0
0,100,0.889,0.305,0.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.305,0.082,1.0,0,0.033,0.223,0.015,0
0,100,0.889,0.305,0.082,0.451,0,0.031,0.127,0.067,0
0,100,0.889,0.305,0.082,0.313,0,0.037,0.111,0.098,0
0,100,0.889,0.305,0.082,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.305,0.082,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.305,0.082,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.082,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.082,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.305,0.204,1.0,0,0.019,0.176,0.074,0
0,100,0.889,0.305,0.204,0.451,0,0.022,0.101,0.172,0
0,100,0.889,0.305,0.204,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.305,0.204,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.305,0.204,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.305,0.204,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.204,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.204,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.305,0.612,1.0,0,0.01,0.133,0.22,0
0,100,0.889,0.305,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.305,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.305,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.305,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.305,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.305,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.305,1.02,1.0,0,0.009,0.13,0.269,0
0,100,0.889,0.305,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.305,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.305,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.305,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.305,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.305,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.305,1.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.455,0.02,1.0,0,0.054,0.279,0.0,0
0,100,0.889,0.455,0.02,0.451,0,0.056,0.177,0.002,0
0,100,0.889,0.455,0.02,0.313,0,0.061,0.147,0.024,0
0,100,0.889,0.455,0.02,0.129,0,0.065,0.122,0.0,0
0,100,0.889,0.455,0.02,0.089,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.02,0.048,0,0.031,0.031,0.0,0
0,100,0.889,0.455,0.02,0.041,0,0.031,0.031,0.0,0
0,100,0.889,0.455,0.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.455,0.082,1.0,0,0.033,0.223,0.015,0
0,100,0.889,0.455,0.082,0.451,0,0.031,0.127,0.067,0
0,100,0.889,0.455,0.082,0.313,0,0.037,0.111,0.098,0
0,100,0.889,0.455,0.082,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.455,0.082,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.455,0.082,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.082,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.082,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.455,0.204,1.0,0,0.019,0.176,0.074,0
0,100,0.889,0.455,0.204,0.451,0,0.022,0.101,0.172,0
0,100,0.889,0.455,0.204,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.455,0.204,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.455,0.204,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.455,0.204,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.204,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.204,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.455,0.612,1.0,0,0.01,0.133,0.22,0
0,100,0.889,0.455,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.455,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.455,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.455,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.455,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.455,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.455,1.02,1.0,0,0.009,0.13,0.269,0
0,100,0.889,0.455,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.455,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.455,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.455,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.455,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.455,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.455,1.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.505,0.02,1.0,0,0.054,0.279,0.0,0
0,100,0.889,0.505,0.02,0.451,0,0.056,0.177,0.002,0
0,100,0.889,0.505,0.02,0.313,0,0.061,0.147,0.024,0
0,100,0.889,0.505,0.02,0.129,0,0.065,0.122,0.0,0
0,100,0.889,0.505,0.02,0.089,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.02,0.048,0,0.031,0.031,0.0,0
0,100,0.889,0.505,0.02,0.041,0,0.031,0.031,0.0,0
0,100,0.889,0.505,0.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.505,0.082,1.0,0,0.033,0.223,0.015,0
0,100,0.889,0.505,0.082,0.451,0,0.031,0.127,0.067,0
0,100,0.889,0.505,0.082,0.313,0,0.037,0.111,0.098,0
0,100,0.889,0.505,0.082,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.505,0.082,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.505,0.082,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.082,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.082,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.505,0.204,1.0,0,0.019,0.176,0.074,0
0,100,0.889,0.505,0.204,0.451,0,0.022,0.101,0.172,0
0,100,0.889,0.505,0.204,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.505,0.204,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.505,0.204,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.505,0.204,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.204,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.204,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.505,0.612,1.0,0,0.01,0.133,0.22,0
0,100,0.889,0.505,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.505,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.505,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.505,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.505,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.505,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.505,1.02,1.0,0,0.009,0.13,0.269,0
0,100,0.889,0.505,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.505,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.505,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.505,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.505,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.505,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.505,1.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.8,0.02,1.0,0,0.054,0.279,0.0,0
0,100,0.889,0.8,0.02,0.451,0,0.056,0.177,0.002,0
0,100,0.889,0.8,0.02,0.313,0,0.061,0.147,0.024,0
0,100,0.889,0.8,0.02,0.129,0,0.065,0.122,0.0,0
0,100,0.889,0.8,0.02,0.089,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.02,0.048,0,0.031,0.031,0.0,0
0,100,0.889,0.8,0.02,0.041,0,0.031,0.031,0.0,0
0,100,0.889,0.8,0.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.8,0.082,1.0,0,0.033,0.223,0.015,0
0,100,0.889,0.8,0.082,0.451,0,0.031,0.127,0.067,0
0,100,0.889,0.8,0.082,0.313,0,0.037,0.111,0.098,0
0,100,0.889,0.8,0.082,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.8,0.082,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.8,0.082,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.082,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.082,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.8,0.204,1.0,0,0.019,0.176,0.074,0
0,100,0.889,0.8,0.204,0.451,0,0.022,0.101,0.172,0
0,100,0.889,0.8,0.204,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.8,0.204,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.8,0.204,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.8,0.204,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.204,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.204,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.8,0.612,1.0,0,0.01,0.133,0.22,0
0,100,0.889,0.8,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.8,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.8,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.8,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.8,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.8,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,0.8,1.02,1.0,0,0.009,0.13,0.269,0
0,100,0.889,0.8,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,0.8,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,0.8,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,0.8,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,0.8,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,0.8,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,0.8,1.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,1.005,0.02,1.0,0,0.054,0.279,0.0,0
0,100,0.889,1.005,0.02,0.451,0,0.056,0.177,0.002,0
0,100,0.889,1.005,0.02,0.313,0,0.061,0.147,0.024,0
0,100,0.889,1.005,0.02,0.129,0,0.065,0.122,0.0,0
0,100,0.889,1.005,0.02,0.089,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.02,0.048,0,0.031,0.031,0.0,0
0,100,0.889,1.005,0.02,0.041,0,0.031,0.031,0.0,0
0,100,0.889,1.005,0.02,0.0,0,0.033,0.032,0.0,0
0,100,0.889,1.005,0.082,1.0,0,0.033,0.223,0.015,0
0,100,0.889,1.005,0.082,0.451,0,0.031,0.127,0.067,0
0,100,0.889,1.005,0.082,0.313,0,0.037,0.111,0.098,0
0,100,0.889,1.005,0.082,0.129,0,0.058,0.111,0.0,0
0,100,0.889,1.005,0.082,0.089,0,0.034,0.033,0.0,0
0,100,0.889,1.005,0.082,0.048,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.082,0.041,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.082,0.0,0,0.033,0.032,0.0,0
0,100,0.889,1.005,0.204,1.0,0,0.019,0.176,0.074,0
0,100,0.889,1.005,0.204,0.451,0,0.022,0.101,0.172,0
0,100,0.889,1.005,0.204,0.313,0,0.034,0.104,0.104,0
0,100,0.889,1.005,0.204,0.129,0,0.058,0.111,0.0,0
0,100,0.889,1.005,0.204,0.089,0,0.034,0.033,0.0,0
0,100,0.889,1.005,0.204,0.048,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.204,0.041,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.204,0.0,0,0.033,0.032,0.0,0
0,100,0.889,1.005,0.612,1.0,0,0.01,0.133,0.22,0
0,100,0.889,1.005,0.612,0.451,0,0.022,0.102,0.193,0
0,100,0.889,1.005,0.612,0.313,0,0.034,0.104,0.104,0
0,100,0.889,1.005,0.612,0.129,0,0.058,0.111,0.0,0
0,100,0.889,1.005,0.612,0.089,0,0.034,0.033,0.0,0
0,100,0.889,1.005,0.612,0.048,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.612,0.041,0,0.032,0.032,0.0,0
0,100,0.889,1.005,0.612,0.0,0,0.033,0.032,0.0,0
0,100,0.889,1.005,1.02,1.0,0,0.009,0.13,0.269,0
0,100,0.889,1.005,1.02,0.451,0,0.022,0.102,0.193,0
0,100,0.889,1.005,1.02,0.313,0,0.034,0.104,0.104,0
0,100,0.889,1.005,1.02,0.129,0,0.058,0.111,0.0,0
0,100,0.889,1.005,1.02,0.089,0,0.034,0.033,0.0,0
0,100,0.889,1.005,1.02,0.048,0,0.032,0.032,0.0,0
0,100,0.889,1.005,1.02,0.041,0,0.032,0.032,0.0,0
0,100,0.889,1.005,1.02,0.0,0,0.033,0.032,0.0,0
0,100,1.0,0.005,0.02,1.0,0,0.169,0.355,0.0,0
0,100,1.0,0.005,0.02,0.451,0,0.133,0.23,0.0,0
0,100,1.0,0.005,0.02,0.313,0,0.12,0.197,0.0,0
0,100,1.0,0.005,0.02,0.129,0,0.062,0.085,0.0,0
0,100,1.0,0.005,0.02,0.089,0,0.051,0.08,0.0,0
0,100,1.0,0.005,0.02,0.048,0,0.052,0.063,0.017,0
0,100,1.0,0.005,0.02,0.041,0,0.05,0.062,0.017,0
0,100,1.0,0.005,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.005,0.082,1.0,0,0.441,0.48,0.0,0
0,100,1.0,0.005,0.082,0.451,0,0.325,0.363,0.0,0
0,100,1.0,0.005,0.082,0.313,0,0.255,0.293,0.0,0
0,100,1.0,0.005,0.082,0.129,0,0.111,0.13,0.0,0
0,100,1.0,0.005,0.082,0.089,0,0.074,0.099,0.0,0
0,100,1.0,0.005,0.082,0.048,0,0.058,0.068,0.017,0
0,100,1.0,0.005,0.082,0.041,0,0.053,0.064,0.0,0
0,100,1.0,0.005,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.005,0.204,1.0,0,0.48,0.514,0.0,0
0,100,1.0,0.005,0.204,0.451,0,0.329,0.362,0.0,0
0,100,1.0,0.005,0.204,0.313,0,0.25,0.29,0.0,0
0,100,1.0,0.005,0.204,0.129,0,0.111,0.129,0.0,0
0,100,1.0,0.005,0.204,0.089,0,0.074,0.099,0.0,0
0,100,1.0,0.005,0.204,0.048,0,0.058,0.068,0.017,0
0,100,1.0,0.005,0.204,0.041,0,0.053,0.064,0.0,0
0,100,1.0,0.005,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.005,0.612,1.0,0,0.477,0.506,0.0,0
0,100,1.0,0.005,0.612,0.451,0,0.329,0.363,0.0,0
0,100,1.0,0.005,0.612,0.313,0,0.25,0.29,0.0,0
0,100,1.0,0.005,0.612,0.129,0,0.111,0.129,0.0,0
0,100,1.0,0.005,0.612,0.089,0,0.074,0.099,0.0,0
0,100,1.0,0.005,0.612,0.048,0,0.058,0.068,0.017,0
0,100,1.0,0.005,0.612,0.041,0,0.053,0.064,0.0,0
0,100,1.0,0.005,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.005,1.02,1.0,0,0.477,0.506,0.0,0
0,100,1.0,0.005,1.02,0.451,0,0.329,0.363,0.0,0
0,100,1.0,0.005,1.02,0.313,0,0.25,0.29,0.0,0
0,100,1.0,0.005,1.02,0.129,0,0.111,0.129,0.0,0
0,100,1.0,0.005,1.02,0.089,0,0.074,0.099,0.0,0
0,100,1.0,0.005,1.02,0.048,0,0.058,0.068,0.017,0
0,100,1.0,0.005,1.02,0.041,0,0.053,0.064,0.0,0
0,100,1.0,0.005,1.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.015,0.02,1.0,0,0.064,0.263,0.004,0
0,100,1.0,0.015,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.015,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.015,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.015,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.015,0.02,0.048,0,0.044,0.055,0.034,0
0,100,1.0,0.015,0.02,0.041,0,0.042,0.052,0.052,0
0,100,1.0,0.015,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.015,0.082,1.0,0,0.169,0.307,0.0,0
0,100,1.0,0.015,0.082,0.451,0,0.094,0.168,0.0,0
0,100,1.0,0.015,0.082,0.313,0,0.065,0.135,0.002,0
0,100,1.0,0.015,0.082,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.015,0.082,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.015,0.082,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.015,0.082,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.015,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.015,0.204,1.0,0,0.299,0.345,0.0,0
0,100,1.0,0.015,0.204,0.451,0,0.128,0.184,0.0,0
0,100,1.0,0.015,0.204,0.313,0,0.069,0.137,0.005,0
0,100,1.0,0.015,0.204,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.015,0.204,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.015,0.204,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.015,0.204,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.015,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.015,0.612,1.0,0,0.304,0.354,0.0,0
0,100,1.0,0.015,0.612,0.451,0,0.128,0.185,0.0,0
0,100,1.0,0.015,0.612,0.313,0,0.069,0.137,0.005,0
0,100,1.0,0.015,0.612,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.015,0.612,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.015,0.612,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.015,0.612,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.015,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.015,1.02,1.0,0,0.304,0.354,0.0,0
0,100,1.0,0.015,1.02,0.451,0,0.128,0.185,0.0,0
0,100,1.0,0.015,1.02,0.313,0,0.069,0.137,0.005,0
0,100,1.0,0.015,1.02,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.015,1.02,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.015,1.02,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.015,1.02,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.015,1.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.02,1.0,0,0.053,0.24,0.004,0
0,100,1.0,0.025,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.025,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.025,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.025,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.025,0.02,0.048,0,0.044,0.055,0.034,0
0,100,1.0,0.025,0.02,0.041,0,0.042,0.052,0.052,0
0,100,1.0,0.025,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.082,1.0,0,0.085,0.291,0.0,0
0,100,1.0,0.025,0.082,0.451,0,0.037,0.139,0.034,0
0,100,1.0,0.025,0.082,0.313,0,0.039,0.113,0.092,0
0,100,1.0,0.025,0.082,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.082,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.082,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.082,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.204,1.0,0,0.192,0.264,0.0,0
0,100,1.0,0.025,0.204,0.451,0,0.059,0.136,0.019,0
0,100,1.0,0.025,0.204,0.313,0,0.041,0.113,0.074,0
0,100,1.0,0.025,0.204,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.204,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.204,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.204,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,0.612,1.0,0,0.223,0.281,0.0,0
0,100,1.0,0.025,0.612,0.451,0,0.059,0.139,0.02,0
0,100,1.0,0.025,0.612,0.313,0,0.041,0.11,0.074,0
0,100,1.0,0.025,0.612,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,0.612,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,0.612,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,0.612,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.025,1.02,1.0,0,0.223,0.281,0.0,0
0,100,1.0,0.025,1.02,0.451,0,0.059,0.139,0.02,0
0,100,1.0,0.025,1.02,0.313,0,0.041,0.11,0.074,0
0,100,1.0,0.025,1.02,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.025,1.02,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.025,1.02,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.025,1.02,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.025,1.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.02,1.0,0,0.053,0.24,0.004,0
0,100,1.0,0.035,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.035,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.035,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.035,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.035,0.02,0.048,0,0.044,0.055,0.034,0
0,100,1.0,0.035,0.02,0.041,0,0.042,0.052,0.052,0
0,100,1.0,0.035,0.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.082,1.0,0,0.053,0.249,0.026,0
0,100,1.0,0.035,0.082,0.451,0,0.027,0.124,0.15,0
0,100,1.0,0.035,0.082,0.313,0,0.037,0.111,0.101,0
0,100,1.0,0.035,0.082,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.082,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.082,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.082,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.082,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.204,1.0,0,0.123,0.231,0.0,0
0,100,1.0,0.035,0.204,0.451,0,0.031,0.117,0.08,0
0,100,1.0,0.035,0.204,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,0.204,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.204,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.204,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.204,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.204,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,0.612,1.0,0,0.17,0.241,0.0,0
0,100,1.0,0.035,0.612,0.451,0,0.032,0.119,0.081,0
0,100,1.0,0.035,0.612,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,0.612,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,0.612,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,0.612,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,0.612,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,0.612,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.035,1.02,1.0,0,0.17,0.241,0.0,0
0,100,1.0,0.035,1.02,0.451,0,0.032,0.119,0.081,0
0,100,1.0,0.035,1.02,0.313,0,0.039,0.112,0.099,0
0,100,1.0,0.035,1.02,0.129,0,0.032,0.056,0.055,0
0,100,1.0,0.035,1.02,0.089,0,0.038,0.067,0.041,0
0,100,1.0,0.035,1.02,0.048,0,0.045,0.056,0.034,0
0,100,1.0,0.035,1.02,0.041,0,0.042,0.053,0.052,0
0,100,1.0,0.035,1.02,0.0,0,0.041,0.041,0.034,0
0,100,1.0,0.055,0.02,1.0,0,0.053,0.24,0.004,0
0,100,1.0,0.055,0.02,0.451,0,0.048,0.17,0.032,0
0,100,1.0,0.055,0.02,0.313,0,0.054,0.14,0.018,0
0,100,1.0,0.055,0.02,0.129,0,0.033,0.057,0.055,0
0,100,1.0,0.055,0.02,0.089,0,0.036,0.064,0.048,0
0,100,1.0,0.055,0.02,0.048,0,0.044,0.055,0.034,0
